player,team,season,height_in,weight_lb,bats,throws,class_year,position,hometown,high_school
WILLIAM LANDMAN,St. Lawrence University,2026,72,,RIGHT,RIGHT,Sr.,C,,
JAMES MORR,St. Lawrence University,2026,74,,RIGHT,RIGHT,Sr.,P,,
JOHN DEZAGO,St. Thomas Aquinas College,2025,73,,RIGHT,RIGHT,Jr.,P,"Howard Beach, NY",Xaverian
JACK DWYER,St. Thomas Aquinas College,2025,69,,RIGHT,RIGHT,So.,INF,"Smithfield, RI",Smithfield
CHRISTOPHER CUMBO,St. Thomas Aquinas College,2026,67,,RIGHT,RIGHT,Fr.,C,"East Meadow, NY",W Tresper Clarke High School
ANTHONY HOLTJE,St. Thomas Aquinas College,2026,71,,RIGHT,RIGHT,Fr.,INF,"Midland Park, NJ",Midland Park High School
JAMES KAHN,St. Thomas Aquinas College,2026,70,,RIGHT,RIGHT,Fr.,INF,"New York, NY",University Heights Secondary School
JUSTIN KLAYMAN,St. Thomas Aquinas College,2026,70,,RIGHT,RIGHT,Jr.,INF,"New York, NY",All Hallows
SEBASTIAN LOCURTO,St. Thomas Aquinas College,2025,72,,RIGHT,RIGHT,Fr.,P,"Commack, NY",Commack
BRADEN SEEBER,St. Thomas Aquinas College,2025,75,,RIGHT,RIGHT,So.,C,"Baldwinsville, NY",Baker
MATTHEW CALLAGHAN,St. Thomas Aquinas College,2026,70,,RIGHT,RIGHT,Fr.,C,"Lake Grove, NY",Sachem High School North
BRIAN KLUMPP,St. Thomas Aquinas College,2025,71,,LEFT,RIGHT,So.,OF,"Warminster, PA",Archbishop Wood
LORENT HOTI,St. Thomas Aquinas College,2026,72,,LEFT,LEFT,Jr.,P,"New York, NY",Monsignor McClancy Memorial
MICHAEL MT MANGANIELLO,St. Thomas Aquinas College,2025,70,,RIGHT,RIGHT,Jr.,C,"Yonkers, NY",Archbishop Stepinac
BRADY BELFUS,St. Thomas Aquinas College,2025,73,,RIGHT,RIGHT,Fr.,INF,"Deptford, NJ",Gloucester Catholic
RYAN KRZEMIENSKI,St. Thomas Aquinas College,2026,73,,RIGHT,RIGHT,So.,INF,"West Sayville, NY",Sayville
JOHN MARGOLIES,St. Thomas Aquinas College,2025,73,,RIGHT,RIGHT,Jr.,P,"Howard Beach, NY",Xaverian
JOSHUA ORTIZ,St. Thomas Aquinas College,2026,70,,LEFT,LEFT,Sr.,OF,"Drexel Hill, PA",Lower Merion High School
MATTHEW NEGLIA,St. Thomas Aquinas College,2026,70,,RIGHT,RIGHT,Fr.,C,"Lake Grove, NY",Sachem High School North
MATTHEW PAOLUCCI,St. Thomas Aquinas College,2026,70,,RIGHT,RIGHT,Fr.,C,"Lake Grove, NY",Sachem High School North
GABRIEL SPRINGER,Stanford,2024,72,,BOTH,RIGHT,So.,,"Boulder, CO",Fairview
MICHAEL PETRUCELLY,State University of New York at Old Westbury,2026,,,,,Sr.,1B,,
RICKY FASITTA,State University of New York at Old Westbury,2025,,,RIGHT,RIGHT,Fr.,INF,,
JACK MT ANGUS,Stetson,2025,75,,RIGHT,RIGHT,Jr.,,"Darien, IL",Montini Catholic
JORDAN MT TAYLOR,Stetson,2025,73,,RIGHT,RIGHT,Jr.,,"Jacksonville, FL",St. Johns Country Day School
MATTHEW   MT GORDON,Stevenson University,2025,72,,,,Jr.,P,"West Islip, NY",West Islip
DHRUV INDELICATO,Stevenson University,2025,72,,,,Jr.,P,"Lawrence, NJ",Lawrence
ANTONIO SANSONE,Stockton University,2025,,,,,Jr.,P,,
JEFFREY ERSCHEN,Stockton University,2025,,,,,So.,P,,
JOSEPH SCLAMA,Stockton University,2026,,,,,Sr.,INF,,
AIDAN MT COHALL,Stonehill,2025,73,,LEFT,RIGHT,Jr.,,"Cortlandt Manor, NY",Walter Panas
"ROBERT MT MOYNIHAN, V",Stonehill,2025,74,,LEFT,RIGHT,Jr.,,"Ledyard, CT",Ledyard '22
NICOLAS AZPILCUETA,Stony Brook,2025,74,,RIGHT,RIGHT,Jr.,,"Sherman Oaks, CA",Crespi Carmelite HS
JACOB MT PEDERSEN,Stony Brook,2025,70,,RIGHT,RIGHT,Sr.,,"Port Jefferson Station, NY",Comsewogue
AARON MT MORALES,Sul Ross State University,2025,73,,LEFT,LEFT,Jr.,OF,"El Paso, TX",Montwood H.S.
AIDAN BECKER,Sul Ross State University,2025,75,,RIGHT,RIGHT,Jr.,P,,
NOAH TOFAN,Sul Ross State University,2026,,,RIGHT,RIGHT,Fr.,,,
GAGE MCANALLY,Sul Ross State University,2026,74,,LEFT,LEFT,Sr.,P,"Lubbock, TX",
GRIFFIN SHENMAN,Susquehanna University,2025,69,,RIGHT,RIGHT,So.,INF,"Rumson, NJ",Rumson Fair-Haven
GEORGE THOMAS,Susquehanna University,2025,74,,LEFT,RIGHT,Sr.,INF,"Wantagh, NY",Chaminade
JOHN BOWLING,Swarthmore College,2025,74,,RIGHT,RIGHT,Sr.,P,"Cornelius, NC",Charlotte Country Day
